19.2899 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
20.4593 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

21.8152 	EXP 	window1: mouseVisible = True
21.8154 	EXP 	window1: mouseVisible = True
21.8157 	EXP 	window1: mouseVisible = True
21.8190 	EXP 	window1: mouseVisible = True
21.8191 	EXP 	window1: mouseVisible = True
21.8194 	EXP 	window1: mouseVisible = True
21.8196 	EXP 	window1: mouseVisible = True
21.8231 	EXP 	window1: mouseVisible = True
21.8232 	EXP 	window1: mouseVisible = True
21.8235 	EXP 	window1: mouseVisible = True
21.8237 	EXP 	window1: mouseVisible = True
21.8270 	EXP 	window1: mouseVisible = True
21.8280 	EXP 	window1: mouseVisible = True
21.8577 	EXP 	Created rating_1 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-5, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='rating_1', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
21.8578 	EXP 	window1: mouseVisible = True
21.8727 	EXP 	Created question = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Content', units='height', win=Window(...), wrapWidth=1)
21.8747 	EXP 	window1: mouseVisible = True
21.8749 	EXP 	window1: mouseVisible = True
21.8761 	EXP 	window1: mouseVisible = True
21.8762 	EXP 	window1: mouseVisible = True
21.8764 	EXP 	window1: mouseVisible = True
21.8767 	EXP 	window1: mouseVisible = True
21.8806 	EXP 	window1: mouseVisible = True
21.8807 	EXP 	window1: mouseVisible = True
21.8810 	EXP 	window1: mouseVisible = True
21.8813 	EXP 	window1: mouseVisible = True
21.8846 	EXP 	window1: mouseVisible = True
21.8847 	EXP 	window1: mouseVisible = True
21.8850 	EXP 	window1: mouseVisible = True
21.8852 	EXP 	window1: mouseVisible = True
21.9254 	EXP 	window1: mouseVisible = True
21.9255 	EXP 	window1: mouseVisible = True
21.9258 	EXP 	window1: mouseVisible = True
21.9261 	EXP 	window1: mouseVisible = True
21.9297 	EXP 	window1: mouseVisible = True
21.9298 	EXP 	window1: mouseVisible = True
21.9301 	EXP 	window1: mouseVisible = True
21.9303 	EXP 	window1: mouseVisible = True
21.9338 	EXP 	window1: mouseVisible = True
21.9339 	EXP 	window1: mouseVisible = True
21.9342 	EXP 	window1: mouseVisible = True
21.9344 	EXP 	window1: mouseVisible = True
21.9378 	EXP 	window1: mouseVisible = True
21.9379 	EXP 	window1: mouseVisible = True
21.9381 	EXP 	window1: mouseVisible = True
21.9384 	EXP 	window1: mouseVisible = True
21.9418 	EXP 	window1: mouseVisible = True
21.9419 	EXP 	window1: mouseVisible = True
21.9422 	EXP 	window1: mouseVisible = True
21.9424 	EXP 	window1: mouseVisible = True
21.9458 	EXP 	window1: mouseVisible = True
21.9458 	EXP 	window1: mouseVisible = True
21.9461 	EXP 	window1: mouseVisible = True
21.9464 	EXP 	window1: mouseVisible = True
21.9498 	EXP 	window1: mouseVisible = True
21.9499 	EXP 	window1: mouseVisible = True
21.9502 	EXP 	window1: mouseVisible = True
21.9505 	EXP 	window1: mouseVisible = True
21.9537 	EXP 	window1: mouseVisible = True
21.9538 	EXP 	window1: mouseVisible = True
21.9541 	EXP 	window1: mouseVisible = True
21.9544 	EXP 	window1: mouseVisible = True
21.9578 	EXP 	window1: mouseVisible = True
21.9578 	EXP 	window1: mouseVisible = True
21.9581 	EXP 	window1: mouseVisible = True
21.9584 	EXP 	window1: mouseVisible = True
21.9617 	EXP 	window1: mouseVisible = True
21.9618 	EXP 	window1: mouseVisible = True
21.9621 	EXP 	window1: mouseVisible = True
21.9623 	EXP 	window1: mouseVisible = True
21.9658 	EXP 	window1: mouseVisible = True
21.9659 	EXP 	window1: mouseVisible = True
21.9662 	EXP 	window1: mouseVisible = True
21.9665 	EXP 	window1: mouseVisible = True
21.9698 	EXP 	window1: mouseVisible = True
21.9708 	EXP 	window1: mouseVisible = True
22.0006 	EXP 	Created rating_2 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-7, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='rating_2', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
22.0007 	EXP 	window1: mouseVisible = True
22.0168 	EXP 	Created question_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-8.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Drawing style/ability', units='height', win=Window(...), wrapWidth=1)
22.0169 	EXP 	window1: mouseVisible = True
22.0176 	EXP 	Created block_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-10.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='block_text', opacity=1.0, ori=0.0, pos=array([0.8 , 0.49]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
22.0176 	EXP 	window1: mouseVisible = True
22.0184 	EXP 	Created message_end = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='message_end', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0018 	EXP 	rating_1: autoLog = True
0.0018 	EXP 	rating_1: styleTweaks = []
0.0018 	EXP 	rating_1: styleTweaks = []
0.0018 	EXP 	rating_1: styleTweaks = ['triangleMarker']
0.0018 	EXP 	rating_1: styleTweaks = ['triangleMarker']
0.0018 	EXP 	rating_1: contrast = 1.0
0.0018 	EXP 	rating_1: markerPos = None
0.0018 	EXP 	rating_1: autoLog = True
0.0018 	EXP 	rating_2: autoLog = True
